Bootstrap,Weekday_Cost,Saturday_Cost,Weekly_Cost,Total_Route_Demand,Weekday_Owned,Weekday_Leased,Saturday_Owned,Saturday_Leased,Weekday_Skipped,Saturday_Skipped
603,50099.63999999999,24189.350000000006,274687.54999999993,682,36,0,26,0,11,0
604,50977.719999999994,22948.440000000002,277837.04,660,35,0,22,0,11,0
605,50200.97999999999,23414.629999999997,274419.5299999999,675,36,0,25,0,11,0
606,49683.119999999995,23606.220000000005,272021.82,674,37,0,24,0,11,0
607,50221.41999999999,23334.140000000003,274441.23999999993,670,38,0,24,0,11,0
608,49700.0,22829.84,271329.84,664,36,0,23,0,11,0
609,50533.579999999994,23513.650000000005,276181.55,663,36,0,24,0,11,0
610,50214.7,23516.380000000005,274589.88,668,35,0,25,0,11,0
611,49798.399999999994,23539.17,272531.17,669,37,0,25,0,11,0
612,49627.939999999995,22874.72,271014.42,661,35,0,23,0,11,0
613,49289.759999999995,23137.72,269586.52,662,36,0,24,0,11,0
614,49096.83999999999,23083.309999999998,268567.50999999995,665,37,0,24,0,11,0
615,48594.909999999996,22929.239999999998,265903.79,655,35,0,24,0,11,0
616,50535.159999999996,24218.810000000005,276894.61,681,36,0,24,0,11,0
617,51020.59,22477.579999999998,277580.52999999997,665,35,0,23,0,11,0
618,48767.119999999995,23214.120000000006,267049.72,653,35,0,24,0,11,0
619,50710.34999999999,23696.24,277247.98999999993,667,35,0,26,0,11,0
620,50279.119999999995,22330.83,273726.43,657,35,0,24,0,11,0
621,47990.14,23488.34,263439.04000000004,649,33,0,25,0,11,0
622,50237.86,23256.070000000003,274445.37,659,36,0,24,0,11,0
623,50020.27,23977.520000000004,274078.87,676,35,0,26,0,11,0
624,49931.78999999999,23269.27,272928.22,667,37,0,24,0,11,0
625,50549.17,23092.269999999997,275838.12,657,35,0,23,0,11,0
626,49710.829999999994,22918.38,271472.52999999997,663,37,0,26,0,11,0
627,49786.02999999999,23049.899999999998,271980.05,652,36,0,26,0,11,0
628,50703.78999999999,23508.840000000007,277027.79,672,35,0,25,0,11,0
629,50381.27,23293.19,275199.54,663,35,0,23,0,11,0
630,49953.62999999999,23561.419999999995,273329.56999999995,662,35,0,24,0,11,0
631,50082.32,22859.820000000003,273271.42,660,35,0,24,0,11,0
632,50097.87999999999,23134.02,273623.42,664,37,0,24,0,11,0
633,50229.189999999995,23076.22,274222.17,662,36,0,24,0,11,0
634,50012.56,23484.0,273546.8,664,35,0,25,0,11,0
635,50504.549999999996,23440.890000000003,275963.63999999996,662,36,0,23,0,11,0
636,50298.45999999999,23426.070000000003,274918.36999999994,663,36,0,25,0,11,0
637,50113.49,23520.78,274088.23,668,36,0,25,0,11,0
638,50178.64,23364.25,274257.45,674,35,0,22,0,11,0
639,50205.67999999999,22237.790000000005,273266.18999999994,650,35,0,23,0,11,0
640,50328.19999999999,23008.779999999995,274649.7799999999,670,36,0,24,0,11,0
641,49159.189999999995,22781.269999999997,268577.22,663,39,0,24,0,11,0
642,50763.28,23731.92,277548.32,668,35,0,25,0,11,0
