Global_Route_ID,Day,Route_ID,Route,Demand,Duration_seconds,Duration_hours,Overtime,Owned_Cost_NZD,Leased_Cost_NZD
1327,Saturday,1196,Warehouse -> New World Southmall -> Warehouse,4.0,8113.98,2.253883333333333,False,495.85,2800.0
1328,Saturday,1197,Warehouse -> New World Southmall -> Pak 'n Save Clendon -> Warehouse,11.0,16149.41,4.485947222222222,True,1190.0,4200.0
1329,Saturday,1198,Warehouse -> Pak 'n Save Clendon -> New World Southmall -> Four Square Botany Junction -> Warehouse,13.0,19276.97,5.354713888888889,True,1500.0,4200.0
1330,Saturday,1199,Warehouse -> Four Square Cockle Bay -> Four Square Botany Junction -> New World Southmall -> Pak 'n Save Clendon -> Warehouse,13.0,20774.46,5.770683333333333,True,1500.0,4200.0
1331,Saturday,1200,Warehouse -> Four Square Pakuranga Heights -> Four Square Cockle Bay -> Four Square Botany Junction -> New World Southmall -> Pak 'n Save Clendon -> Warehouse,15.0,23168.14,6.435594444444444,True,1810.0,5600.0
1332,Saturday,1201,Warehouse -> Four Square Pakuranga Heights -> Four Square Botany Junction -> New World Southmall -> Pak 'n Save Clendon -> Warehouse,15.0,22196.98,6.1658277777777775,True,1810.0,5600.0
1333,Saturday,1202,Warehouse -> Pak 'n Save Manukau -> New World Southmall -> Warehouse,11.0,16133.49,4.4815249999999995,True,1190.0,4200.0
1334,Saturday,1203,Warehouse -> New World Southmall -> Four Square Botany Junction -> Pak 'n Save Manukau -> Warehouse,13.0,18936.79,5.260219444444445,True,1500.0,4200.0
1335,Saturday,1204,Warehouse -> Four Square Cockle Bay -> Four Square Botany Junction -> Pak 'n Save Manukau -> New World Southmall -> Warehouse,13.0,20576.54,5.715705555555556,True,1500.0,4200.0
1336,Saturday,1205,Warehouse -> Four Square Pakuranga Heights -> Four Square Cockle Bay -> Four Square Botany Junction -> Pak 'n Save Manukau -> New World Southmall -> Warehouse,15.0,22970.22,6.380616666666667,True,1810.0,5600.0
1337,Saturday,1206,Warehouse -> Four Square Pakuranga Heights -> Four Square Botany Junction -> Pak 'n Save Manukau -> New World Southmall -> Warehouse,15.0,21999.06,6.11085,True,1810.0,5600.0
1338,Saturday,1207,Warehouse -> Pak 'n Save Papakura -> New World Southmall -> Warehouse,12.0,17890.489999999998,4.969580555555555,True,1190.0,4200.0
1339,Saturday,1208,Warehouse -> New World Southmall -> Four Square Botany Junction -> Warehouse,6.0,11203.11,3.111975,False,684.63,2800.0
1340,Saturday,1209,Warehouse -> Four Square Cockle Bay -> Four Square Botany Junction -> New World Southmall -> Warehouse,6.0,12739.029999999999,3.538619444444444,False,778.5,2800.0
1341,Saturday,1210,Warehouse -> Four Square Pakuranga Heights -> Four Square Cockle Bay -> Four Square Botany Junction -> New World Southmall -> Warehouse,8.0,15132.71,4.203530555555555,True,1190.0,4200.0
1342,Saturday,1211,Warehouse -> Four Square Pakuranga Heights -> Four Square Botany Junction -> New World Southmall -> Warehouse,8.0,14161.55,3.9337638888888886,False,865.43,2800.0
1343,Saturday,1212,Warehouse -> New World Stonefields -> Warehouse,4.0,8251.35,2.292041666666667,False,504.25,2800.0
1344,Saturday,1213,Warehouse -> New World Stonefields -> Pak 'n Save Glen Innes -> Warehouse,12.0,17954.15,4.987263888888889,True,1190.0,4200.0
1345,Saturday,1214,Warehouse -> Four Square Ellerslie -> New World Stonefields -> Pak 'n Save Glen Innes -> Warehouse,14.0,20201.67,5.611574999999999,True,1500.0,4200.0
1346,Saturday,1215,Warehouse -> Four Square Onehunga -> Four Square Ellerslie -> New World Stonefields -> Pak 'n Save Glen Innes -> Warehouse,16.0,22045.58,6.123772222222223,True,1810.0,5600.0
1347,Saturday,1216,Warehouse -> Four Square Ellerslie -> New World Stonefields -> Pak 'n Save Glen Innes -> Four Square Remuera -> Warehouse,16.0,22404.25,6.223402777777777,True,1810.0,5600.0
1348,Saturday,1217,Warehouse -> Four Square Ellerslie -> New World Stonefields -> Pak 'n Save Glen Innes -> Four Square St Heliers -> Warehouse,16.0,22675.57,6.298769444444444,True,1810.0,5600.0
1349,Saturday,1218,Warehouse -> New World Stonefields -> Pak 'n Save Glen Innes -> Four Square Remuera -> Warehouse,14.0,20156.73,5.599091666666666,True,1500.0,4200.0
1350,Saturday,1219,Warehouse -> Four Square Remuera -> New World Stonefields -> Pak 'n Save Glen Innes -> Four Square St Heliers -> Warehouse,16.0,22743.8,6.317722222222222,True,1810.0,5600.0
1351,Saturday,1220,Warehouse -> New World Stonefields -> Pak 'n Save Glen Innes -> Four Square St Heliers -> Warehouse,14.0,20428.05,5.674458333333333,True,1500.0,4200.0
1352,Saturday,1221,Warehouse -> Pak 'n Save Sylvia Park -> New World Stonefields -> Warehouse,12.0,17432.0,4.842222222222222,True,1190.0,4200.0
1353,Saturday,1222,Warehouse -> Four Square Ellerslie -> New World Stonefields -> Pak 'n Save Sylvia Park -> Warehouse,14.0,19684.97,5.468047222222222,True,1500.0,4200.0
1354,Saturday,1223,Warehouse -> Four Square Onehunga -> Four Square Ellerslie -> New World Stonefields -> Pak 'n Save Sylvia Park -> Warehouse,16.0,21528.88,5.980244444444445,True,1500.0,4200.0
1355,Saturday,1224,Warehouse -> Four Square Ellerslie -> Four Square Remuera -> New World Stonefields -> Pak 'n Save Sylvia Park -> Warehouse,16.0,22121.12,6.144755555555555,True,1810.0,5600.0
1356,Saturday,1225,Warehouse -> Four Square Ellerslie -> Pak 'n Save Sylvia Park -> New World Stonefields -> Four Square St Heliers -> Warehouse,16.0,23064.91,6.406919444444444,True,1810.0,5600.0
1357,Saturday,1226,Warehouse -> Four Square Pakuranga Heights -> Pak 'n Save Sylvia Park -> New World Stonefields -> Warehouse,14.0,20315.11,5.643086111111112,True,1500.0,4200.0
1358,Saturday,1227,Warehouse -> Four Square Ellerslie -> New World Stonefields -> Warehouse,6.0,10498.869999999999,2.9163527777777776,False,641.6,2800.0
1359,Saturday,1228,Warehouse -> Four Square Onehunga -> Four Square Ellerslie -> New World Stonefields -> Warehouse,8.0,12342.78,3.42855,False,754.28,2800.0
1360,Saturday,1229,Warehouse -> Four Square Onehunga -> Four Square Ellerslie -> New World Stonefields -> Four Square Remuera -> Warehouse,10.0,14653.560000000001,4.070433333333334,True,1190.0,4200.0
1361,Saturday,1230,Warehouse -> Four Square Onehunga -> Four Square Ellerslie -> New World Stonefields -> Four Square St Heliers -> Four Square Remuera -> Warehouse,12.0,17974.54,4.992927777777778,True,1190.0,4200.0
1362,Saturday,1231,Warehouse -> Four Square Ellerslie -> New World Stonefields -> Four Square Remuera -> Warehouse,8.0,12809.65,3.558236111111111,False,782.81,2800.0
1363,Saturday,1232,Warehouse -> Four Square Ellerslie -> New World Stonefields -> Four Square St Heliers -> Four Square Remuera -> Warehouse,10.0,16130.630000000001,4.480730555555556,True,1190.0,4200.0
1364,Saturday,1233,Warehouse -> Four Square Ellerslie -> New World Stonefields -> Four Square St Heliers -> Warehouse,8.0,13732.48,3.8145777777777776,False,839.21,2800.0
1365,Saturday,1234,Warehouse -> New World Stonefields -> Four Square Remuera -> Warehouse,6.0,10562.130000000001,2.9339250000000003,False,645.46,2800.0
1366,Saturday,1235,Warehouse -> Four Square Remuera -> New World Stonefields -> Four Square St Heliers -> Warehouse,8.0,13800.710000000001,3.833530555555556,False,843.38,2800.0
1367,Saturday,1236,Warehouse -> New World Stonefields -> Four Square St Heliers -> Warehouse,6.0,11484.96,3.1902666666666666,False,701.86,2800.0
1368,Saturday,1237,Warehouse -> New World Victoria Park -> Warehouse,4.0,7111.389999999999,1.9753861111111108,False,434.58,1400.0
1369,Saturday,1238,Warehouse -> New World Victoria Park -> Four Square Britomart -> Warehouse,6.0,9710.73,2.697425,False,593.43,2800.0
1370,Saturday,1239,Warehouse -> New World Victoria Park -> Four Square Britomart -> Four Square Eden Terrace -> Warehouse,8.0,12159.68,3.377688888888889,False,743.09,2800.0
1371,Saturday,1240,Warehouse -> New World Victoria Park -> Four Square Britomart -> Four Square Remuera -> Four Square Eden Terrace -> Warehouse,10.0,15466.83,4.296341666666667,True,1190.0,4200.0
1372,Saturday,1241,Warehouse -> New World Victoria Park -> Four Square Britomart -> Four Square St Heliers -> Four Square Remuera -> Four Square Eden Terrace -> Warehouse,12.0,18682.59,5.189608333333333,True,1500.0,4200.0
1373,Saturday,1242,Warehouse -> New World Victoria Park -> Four Square Eden Terrace -> Warehouse,6.0,9582.76,2.661877777777778,False,585.61,2800.0
1374,Saturday,1243,Warehouse -> Four Square Remuera -> Four Square Eden Terrace -> New World Victoria Park -> Warehouse,8.0,13030.11,3.619475,False,796.28,2800.0
1375,Saturday,1244,Warehouse -> New World Victoria Park -> Four Square Eden Terrace -> Four Square Remuera -> Four Square St Heliers -> Warehouse,10.0,16635.309999999998,4.620919444444444,True,1190.0,4200.0
1376,Saturday,1245,Warehouse -> Pak 'n Save Albany -> Warehouse,8.0,13899.99,3.861108333333333,False,849.44,2800.0
1377,Saturday,1246,Warehouse -> Pak 'n Save Albany -> Pak 'n Save Wairau Road -> Warehouse,14.0,20604.23,5.723397222222222,True,1500.0,4200.0
1378,Saturday,1247,Warehouse -> Four Square Lancaster -> Pak 'n Save Wairau Road -> Pak 'n Save Albany -> Warehouse,16.0,23764.12,6.6011444444444445,True,1810.0,5600.0
1379,Saturday,1248,Warehouse -> Pak 'n Save Albany -> Four Square Torbay -> Pak 'n Save Wairau Road -> Warehouse,16.0,24170.620000000003,6.7140611111111115,True,1810.0,5600.0
