Bootstrap,Weekday_Cost,Saturday_Cost,Weekly_Cost,Total_Route_Demand,Weekday_Owned,Weekday_Leased,Saturday_Owned,Saturday_Leased,Weekday_Skipped,Saturday_Skipped
499,49525.149999999994,23328.320000000003,270954.06999999995,661.0,36,0,24,0,11,0
500,47797.90999999999,23039.89,262029.43999999994,643.0,35,0,23,0,11,0
501,49844.119999999995,23462.249999999996,272682.85,659.0,35,0,24,0,11,0
502,49478.35999999999,23643.730000000007,271035.52999999997,666.0,37,0,23,0,11,0
503,49024.509999999995,23260.77,268383.32,647.0,34,0,24,0,11,0
504,49909.06,23119.430000000004,272664.73,664.0,35,0,24,0,11,0
505,49172.53999999999,23092.96,268955.66,663.0,37,0,25,0,11,0
506,50404.12999999999,22594.089999999997,274614.74,657.0,35,0,22,0,11,0
507,49855.969999999994,23274.410000000003,272554.26,671.0,39,0,24,0,11,0
508,50215.67999999999,23099.47,274177.87,668.0,35,0,24,0,11,0
509,50002.19999999999,22698.440000000002,272709.43999999994,664.0,35,0,24,0,11,0
510,50222.659999999996,23627.939999999995,274741.24,669.0,35,0,25,0,11,0
511,50574.4,23348.19,276220.19,666.0,36,0,25,0,11,0
512,50069.49999999999,23138.24,273485.74,663.0,35,0,24,0,11,0
513,50412.98999999999,23847.83,275912.77999999997,675.0,35,0,25,0,11,0
514,50706.59,23503.489999999998,277036.44,677.0,34,0,24,0,11,0
515,50959.689999999995,23095.530000000002,277893.98,664.0,35,0,25,0,11,0
516,50897.78999999999,22961.98,277450.92999999993,666.0,35,0,23,0,11,0
517,50200.969999999994,23626.51,274631.36,669.0,34,0,25,0,11,0
518,49432.39,22255.870000000006,269417.82,653.0,36,0,24,0,11,0
519,49200.23999999999,22895.059999999998,268896.25999999995,666.0,37,0,24,0,11,0
520,48776.92,23472.59,267357.19,659.0,36,0,25,0,11,0
521,50501.74999999999,23384.5,275893.25,664.0,34,0,26,0,11,0
522,48368.369999999995,23445.52,265287.37,654.0,33,0,25,0,11,0
523,50198.01999999999,22640.88,273630.9799999999,664.0,36,0,24,0,11,0
524,50139.31,23631.8,274328.35,665.0,37,0,23,0,11,0
525,50377.21999999999,22506.55,274392.6499999999,664.0,35,0,23,0,11,0
526,50611.259999999995,23068.25,276124.55,673.0,36,0,24,0,11,0
527,49407.63,23196.429999999997,270234.58,669.0,37,0,23,0,11,0
528,49972.549999999996,23253.55,273116.3,666.0,35,0,25,0,11,0
529,49817.62999999999,23663.079999999998,272751.23,675.0,36,0,25,0,11,0
530,49420.759999999995,23260.440000000002,270364.24,663.0,36,0,25,0,11,0
531,49505.76999999999,23452.379999999997,270981.2299999999,665.0,35,0,23,0,11,0
532,49742.38,22822.059999999998,271533.95999999996,656.0,35,0,23,0,11,0
